post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47753689,Building a CLI for All of Cloudflare,technology,89,25,soheilpro,2026-04-13T23:06:20.488380,0.2777777777777778,False
47750872,Servo is now available on crates.io,technology,272,90,ffin,2026-04-13T23:06:20.488437,0.32967032967032966,True
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,28,7,bookofjoe,2026-04-13T23:06:20.488485,0.2413793103448276,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,39,8,mfilion,2026-04-13T23:06:20.488511,0.2,False
47754002,Missouri town fires half its city council over data center deal,technology,53,25,impish9208,2026-04-13T23:06:20.488541,0.46296296296296297,False
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,144,73,iamnothere,2026-04-13T23:06:20.488571,0.503448275862069,False
47749065,The economics of software teams: Why most engineering orgs are flying blind,technology,347,200,kiyanwang,2026-04-13T23:06:20.488587,0.5747126436781609,True
47719490,I gave every train in New York an instrument,technology,363,70,joshuawolk,2026-04-13T23:06:20.488679,0.19230769230769232,True
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,195,86,dvaughan,2026-04-13T23:06:20.488689,0.4387755102040816,True
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,161,109,JanSchu,2026-04-13T23:06:20.488700,0.6728395061728395,False
47753643,Claude.ai down,technology,104,101,rob,2026-04-13T23:06:20.488708,0.9619047619047619,False
47738978,"We have a 99% email reputation, but Gmail disagrees",technology,334,285,em-bee,2026-04-13T23:06:20.488718,0.8507462686567164,True
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,1072,392,littlecranky67,2026-04-13T23:06:20.488729,0.36533084808946875,True
47733217,Exploiting the most prominent AI agent benchmarks,technology,560,136,Anon84,2026-04-13T23:06:20.488739,0.24242424242424243,True
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,362,319,walterbell,2026-04-13T23:06:20.488767,0.8787878787878788,True
47750259,Point Cloud Allemansrätten,technology,32,4,ColinWright,2026-04-13T23:06:20.488783,0.12121212121212122,False
